"municipio","low_cost","mean(precio_gasoleo_a, na.rm = TRUE)","mean(precio_gasolina_95_e5_premium, na.rm = TRUE)","max(precio_gasoleo_a, na.rm = TRUE)","max(precio_gasolina_95_e5_premium, na.rm = TRUE)","min(precio_gasoleo_a, na.rm = TRUE)","min(precio_gasolina_95_e5_premium, na.rm = TRUE)"
"Alcalá de la Selva",TRUE,1.359,NA,1.359,-Inf,1.359,Inf
"Alcalá de los Gazules",TRUE,1.364,NA,1.369,-Inf,1.359,Inf
"Alcalà de Xivert",FALSE,1.369,NA,1.379,-Inf,1.359,Inf
"Alcalà de Xivert",TRUE,1.399,NA,1.399,-Inf,1.399,Inf
"Alcalá del Júcar",FALSE,1.359,NA,1.359,-Inf,1.359,Inf
"Alcalá del Río",FALSE,1.3175,NA,1.38,-Inf,1.255,Inf
"Alcalá del Río",TRUE,1.399,NA,1.399,-Inf,1.399,Inf
"Alcalá del Valle",FALSE,1.259,NA,1.259,-Inf,1.259,Inf
"Alcalá del Valle",TRUE,1.298,NA,1.298,-Inf,1.298,Inf
"Alcalá la Real",FALSE,1.3112,1.409,1.369,1.409,1.22,1.409
"Alcalá la Real",TRUE,1.39233333333333,NA,1.409,-Inf,1.379,Inf
"Alcalalí",TRUE,1.409,NA,1.409,-Inf,1.409,Inf
"Alcampell",FALSE,NA,NA,-Inf,-Inf,Inf,Inf
"Alcanadre",FALSE,NA,NA,-Inf,-Inf,Inf,Inf
"Alcanar",FALSE,1.409,NA,1.409,-Inf,1.409,Inf
"Alcanar",TRUE,1.249,NA,1.249,-Inf,1.249,Inf
"Alcántara",FALSE,1.329,NA,1.329,-Inf,1.329,Inf
"Alcantarilla",FALSE,1.2554,NA,1.319,-Inf,1.225,Inf
"Alcantarilla",TRUE,1.3688,NA,1.375,-Inf,1.362,Inf
"Alcañices",TRUE,1.419,NA,1.419,-Inf,1.419,Inf
"Alcañiz",FALSE,1.2306,NA,1.259,-Inf,1.216,Inf
"Alcañiz",TRUE,1.386,NA,1.393,-Inf,1.379,Inf
"Alcaracejos",FALSE,1.389,NA,1.389,-Inf,1.389,Inf
"Alcaraz",TRUE,1.384,1.519,1.389,1.519,1.379,1.519
"Alcarràs",FALSE,1.23,NA,1.269,-Inf,1.192,Inf
"Alcarràs",TRUE,1.229,NA,1.229,-Inf,1.229,Inf
